"FL_SEXO","DS_CATEGORIA","NM_PONTO_TURISTICO","NR_LATITUDE","NR_LONGITUDE","NR_NOTA_AVALIACAO"
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,7
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,9
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,8
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,8
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,9
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,7
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,8
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,9
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,8
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,7
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,9
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,7
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,8
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,9
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,8
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,9
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"F","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,9
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,10
"M","Localizacao Publica","Roda Gigante Sao Paulo",-23.452,-46.722,8
"F","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,9
"F","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,9
"F","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,9
"M","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,10
"F","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,8
"M","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,10
"M","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,10
"F","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,9
"M","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,10
"F","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,10
"F","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,8
"M","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,10
"F","Localizacao Publica","Aquario de Sao Paulo",-23.3536,-46.3651,8
"M","Parque","Parque do Trianon",-23.3347,-46.3915,2
"M","Parque","Parque do Trianon",-23.3347,-46.3915,2
"M","Parque","Parque do Trianon",-23.3347,-46.3915,2
"F","Parque","Parque do Trianon",-23.3347,-46.3915,2
"M","Parque","Parque do Trianon",-23.3347,-46.3915,2
"F","Parque","Parque do Trianon",-23.3347,-46.3915,9
"F","Parque","Parque do Trianon",-23.3347,-46.3915,8
"M","Parque","Parque do Trianon",-23.3347,-46.3915,9
"F","Parque","Parque do Trianon",-23.3347,-46.3915,9
"M","Parque","Parque do Trianon",-23.3347,-46.3915,8
"F","Parque","Parque do Trianon",-23.3347,-46.3915,8
"F","Parque","Parque do Trianon",-23.3347,-46.3915,9
"F","Parque","Parque do Trianon",-23.3347,-46.3915,9
"F","Parque","Parque do Trianon",-23.3347,-46.3915,9
"M","Parque","Parque do Trianon",-23.3347,-46.3915,8
"M","Museu","MASP",-23.561414,-46.655881,1
"M","Museu","MASP",-23.561414,-46.655881,1
"M","Museu","MASP",-23.561414,-46.655881,1
"F","Museu","MASP",-23.561414,-46.655881,9
"F","Museu","MASP",-23.561414,-46.655881,6
"F","Museu","MASP",-23.561414,-46.655881,10
"F","Museu","MASP",-23.561414,-46.655881,1
"F","Museu","MASP",-23.561414,-46.655881,7
"M","Museu","MASP",-23.561414,-46.655881,1
"F","Museu","MASP",-23.561414,-46.655881,9
"F","Museu","MASP",-23.561414,-46.655881,5
"F","Museu","MASP",-23.561414,-46.655881,1
"M","Museu","MASP",-23.561414,-46.655881,9
"M","Shopping","Shopping Tatuape",-23.54,-46.575,10
"M","Shopping","Shopping Tatuape",-23.54,-46.575,3
"M","Shopping","Shopping Tatuape",-23.54,-46.575,10
"F","Shopping","Shopping Tatuape",-23.54,-46.575,6
"F","Shopping","Shopping Tatuape",-23.54,-46.575,2
"F","Shopping","Shopping Tatuape",-23.54,-46.575,3
"F","Shopping","Shopping Tatuape",-23.54,-46.575,8
"F","Shopping","Shopping Tatuape",-23.54,-46.575,4
"M","Shopping","Shopping Tatuape",-23.54,-46.575,1
"F","Shopping","Shopping Tatuape",-23.54,-46.575,2
"F","Shopping","Shopping Tatuape",-23.54,-46.575,5
"F","Shopping","Shopping Tatuape",-23.54,-46.575,4
"F","Shopping","Shopping Tatuape",-23.54,-46.575,10
"M","Shopping","Shopping Tatuape",-23.54,-46.575,1
"F","Shopping","Shopping Tatuape",-23.54,-46.575,2
"M","Localizacao Publica","Feira do Bras",-23.542,-46.61,8
"F","Localizacao Publica","Feira do Bras",-23.542,-46.61,6
"F","Localizacao Publica","Feira do Bras",-23.542,-46.61,6
"F","Localizacao Publica","Feira do Bras",-23.542,-46.61,8
