"NM_PONTO_TURISTICO","DT_AVALIACAO","NR_NOTA_AVALIACAO","DS_COMENTARIO"
"Catedral da Se","2024-01-03T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-04T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-08T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Arena Allianz Parque","2024-01-07T00:00:00Z",9,"Muito bem organizado"
"Arena Allianz Parque","2024-01-05T00:00:00Z",3,"Evento atrasado"
"Arena Allianz Parque","2024-01-08T00:00:00Z",7,"Recomendo muito"
"Arena Allianz Parque","2024-01-08T00:00:00Z",9,"Experiencia excelente"
"Arena Allianz Parque","2024-01-04T00:00:00Z",1,"Infraestrutura ruim"
"Arena Allianz Parque","2024-01-01T00:00:00Z",9,"Experiencia excelente"
"Arena Allianz Parque","2024-01-08T00:00:00Z",2,"Infraestrutura ruim"
"Arena Allianz Parque","2024-01-02T00:00:00Z",1,"Evento atrasado"
"Arena Allianz Parque","2024-01-02T00:00:00Z",7,"Evento incrivel"
"Arena Allianz Parque","2024-01-04T00:00:00Z",1,"Infraestrutura ruim"
"Arena Allianz Parque","2024-01-02T00:00:00Z",5,"Evento atrasado"
"Arena Allianz Parque","2024-01-06T00:00:00Z",1,"Infraestrutura ruim"
"Arena Allianz Parque","2024-01-02T00:00:00Z",9,"Evento incrivel"
"Arena Allianz Parque","2024-01-04T00:00:00Z",4,"Filas longas e desorganizacao"
"Arena Allianz Parque","2024-01-01T00:00:00Z",9,"Muito bem organizado"
"Arena Allianz Parque","2024-01-03T00:00:00Z",3,"Som de baixa qualidade"
"Arena Allianz Parque","2024-01-02T00:00:00Z",1,"Filas longas e desorganizacao"
"Arena Allianz Parque","2024-01-08T00:00:00Z",9,"Recomendo muito"
"Arena Allianz Parque","2024-01-05T00:00:00Z",1,"Som de baixa qualidade"
"Arena Allianz Parque","2024-01-08T00:00:00Z",1,"Som de baixa qualidade"
"Arena Allianz Parque","2024-01-08T00:00:00Z",6,"Filas longas e desorganizacao"
"Arena Allianz Parque","2024-01-04T00:00:00Z",9,"Evento incrivel"
"Arena Allianz Parque","2024-01-04T00:00:00Z",7,"Experiencia excelente"
"Arena Allianz Parque","2024-01-03T00:00:00Z",1,"Som de baixa qualidade"
"Arena Allianz Parque","2024-01-05T00:00:00Z",9,"Recomendo muito"
"Arena Allianz Parque","2024-01-08T00:00:00Z",2,"Infraestrutura ruim"
"Arena Allianz Parque","2024-01-08T00:00:00Z",1,"Som de baixa qualidade"
"Arena Allianz Parque","2024-01-04T00:00:00Z",10,"Experiencia excelente"
"Arena Allianz Parque","2024-01-04T00:00:00Z",7,"Muito bem organizado"
"Arena Allianz Parque","2024-01-02T00:00:00Z",8,"Muito bem organizado"
"Arena Allianz Parque","2024-01-06T00:00:00Z",8,"Evento incrivel"
"Arena Allianz Parque","2024-01-08T00:00:00Z",8,"Recomendo muito"
"Arena Allianz Parque","2024-01-08T00:00:00Z",9,"Muito bem organizado"
"Arena Allianz Parque","2024-01-03T00:00:00Z",2,"Evento atrasado"
"Cantina Mooca","2024-06-15T00:00:00Z",10,"Muito bem organizado"
"Cantina Mooca","2024-07-20T00:00:00Z",9,"Recomendo muito"
"Cantina Mooca","2025-08-05T00:00:00Z",9,"Excelente lugar para comer"
"Cantina Mooca","2024-10-22T00:00:00Z",10,"Recomendo muito"
"Cantina Mooca","2026-03-16T00:00:00Z",9,"Excelente lugar para comer"
"Cantina Mooca","2024-07-06T00:00:00Z",9,"Excelente lugar para comer"
"Cantina Mooca","2025-10-31T00:00:00Z",9,"Experiencia excelente"
"Cantina Mooca","2024-04-19T00:00:00Z",8,"Experiencia excelente"
"Cantina Mooca","2025-01-11T00:00:00Z",10,"Muito bem organizado"
"Cantina Mooca","2024-04-06T00:00:00Z",9,"Muito bem organizado"
"Cantina Mooca","2026-01-26T00:00:00Z",9,"Experiencia excelente"
"Cantina Mooca","2026-05-16T00:00:00Z",8,"Experiencia excelente"
"Cantina Mooca","2025-06-25T00:00:00Z",10,"Experiencia excelente"
"Cantina Mooca","2024-08-05T00:00:00Z",9,"Experiencia excelente"
"Cantina Mooca","2025-04-09T00:00:00Z",9,"Recomendo muito"
"Cantina Mooca","2024-09-20T00:00:00Z",10,"Excelente lugar para comer"
"Cantina Mooca","2024-06-28T00:00:00Z",10,"Excelente lugar para comer"
"Cantina Mooca","2024-02-26T00:00:00Z",9,"Muito bem organizado"
"Cantina Mooca","2025-12-06T00:00:00Z",10,"Experiencia excelente"
"Cantina Mooca","2024-10-06T00:00:00Z",9,"Excelente lugar para comer"
"Cantina Mooca","2024-03-29T00:00:00Z",10,"Muito bem organizado"
"Cantina Mooca","2024-02-08T00:00:00Z",9,"Muito bem organizado"
"Cantina Mooca","2024-11-30T00:00:00Z",9,"Muito bem organizado"
"Cantina Mooca","2024-07-12T00:00:00Z",8,"Experiencia excelente"
"Cantina Mooca","2024-03-18T00:00:00Z",9,"Muito bem organizado"
"Cantina Mooca","2024-12-16T00:00:00Z",10,"Excelente lugar para comer"
"Cantina Mooca","2025-07-01T00:00:00Z",8,"Recomendo muito"
"Cantina Mooca","2025-11-28T00:00:00Z",10,"Recomendo muito"
"Cantina Mooca","2024-08-10T00:00:00Z",10,"Recomendo muito"
"Cantina Mooca","2025-10-10T00:00:00Z",8,"Excelente lugar para comer"
"Cantina Mooca","2026-05-09T00:00:00Z",9,"Experiencia excelente"
"Cantina Mooca","2024-01-23T00:00:00Z",8,"Recomendo muito"
"Cantina Mooca","2024-07-26T00:00:00Z",8,"Recomendo muito"
"Cantina Mooca","2025-06-10T00:00:00Z",10,"Recomendo muito"
"Cantina Mooca","2025-10-01T00:00:00Z",9,"Experiencia excelente"
"Cantina Mooca","2024-05-19T00:00:00Z",8,"Excelente lugar para comer"
"Cantina Mooca","2024-08-13T00:00:00Z",9,"Recomendo muito"
"Cantina Mooca","2024-03-18T00:00:00Z",8,"Muito bem organizado"
"Cantina Mooca","2024-09-01T00:00:00Z",9,"Recomendo muito"
"Japan House","2024-01-01T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-04T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-02T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-05T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-01T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-06T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-04T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-05T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-03T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-06T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-08T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-02T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-04T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-07T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-03T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-03T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-03T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-07T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-03T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-08T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-05T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-03T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-02T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Japan House","2024-01-04T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Cantina Italiana Lazarella","2024-12-28T00:00:00Z",8,"Muito bem organizado"
"Cantina Italiana Lazarella","2025-01-01T00:00:00Z",8,"Experiencia excelente"
"Cantina Italiana Lazarella","2024-02-24T00:00:00Z",9,"Experiencia excelente"
"Cantina Italiana Lazarella","2025-09-26T00:00:00Z",9,"Recomendo muito"
"Cantina Italiana Lazarella","2024-09-20T00:00:00Z",10,"Muito bem organizado"
"Cantina Italiana Lazarella","2025-10-10T00:00:00Z",8,"Muito bem organizado"
"Cantina Italiana Lazarella","2026-01-14T00:00:00Z",8,"Experiencia excelente"
"Cantina Italiana Lazarella","2024-07-06T00:00:00Z",8,"Muito bem organizado"
"Cantina Italiana Lazarella","2024-09-03T00:00:00Z",8,"Excelente lugar para comer"
"Cantina Italiana Lazarella","2024-06-17T00:00:00Z",9,"Recomendo muito"
"Cantina Italiana Lazarella","2026-03-03T00:00:00Z",10,"Excelente lugar para comer"
"Cantina Italiana Lazarella","2024-11-01T00:00:00Z",9,"Muito bem organizado"
"Cantina Italiana Lazarella","2026-01-07T00:00:00Z",10,"Muito bem organizado"
"Cantina Italiana Lazarella","2025-02-24T00:00:00Z",8,"Excelente lugar para comer"
"Cantina Italiana Lazarella","2026-03-12T00:00:00Z",9,"Experiencia excelente"
"Cantina Italiana Lazarella","2025-03-31T00:00:00Z",10,"Recomendo muito"
"Cantina Italiana Lazarella","2024-11-08T00:00:00Z",8,"Experiencia excelente"
"Cantina Italiana Lazarella","2024-05-03T00:00:00Z",8,"Muito bem organizado"
"Cantina Italiana Lazarella","2025-02-10T00:00:00Z",8,"Recomendo muito"
"Cantina Italiana Lazarella","2024-02-03T00:00:00Z",9,"Muito bem organizado"
"Cantina Italiana Lazarella","2024-10-22T00:00:00Z",9,"Recomendo muito"
"Cantina Italiana Lazarella","2024-06-07T00:00:00Z",9,"Muito bem organizado"
"Shopping Patio Paulista","2024-01-03T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-08T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-04T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-06T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-06T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-05T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-04T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-02T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-02T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-03T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-02T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-03T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-02T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-06T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-08T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-03T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-08T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-06T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-04T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-02T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-06T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-02T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-01T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-08T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-03T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-06T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-01T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-02T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-02T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-02T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-05T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-01T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-01T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-02T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-03T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-06T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-04T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-06T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-04T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-05T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-08T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-05T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Patio Paulista","2024-01-06T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping Cidade Sao Paulo","2024-01-06T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping Cidade Sao Paulo","2024-01-08T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping Cidade Sao Paulo","2024-01-01T00:00:00Z",8,"Excelente lugar para conhecer"
"MASP","2024-01-01T00:00:00Z",8,"Recomendo muito"
"MASP","2024-01-05T00:00:00Z",9,"Muito bem organizado"
"MASP","2024-01-07T00:00:00Z",4,"Filas longas e desorganizacao"
"MASP","2024-01-04T00:00:00Z",10,"Muito bem organizado"
"MASP","2024-01-07T00:00:00Z",4,"Infraestrutura ruim"
"MASP","2024-01-07T00:00:00Z",7,"Muito bem organizado"
"MASP","2024-01-06T00:00:00Z",1,"Som de baixa qualidade"
"MASP","2024-01-08T00:00:00Z",3,"Evento atrasado"
"MASP","2024-01-08T00:00:00Z",1,"Evento atrasado"
"MASP","2024-01-08T00:00:00Z",10,"Evento incrivel"
"MASP","2024-01-01T00:00:00Z",5,"Evento atrasado"
"MASP","2024-01-05T00:00:00Z",3,"Som de baixa qualidade"
"MASP","2024-01-06T00:00:00Z",3,"Som de baixa qualidade"
"MASP","2024-01-03T00:00:00Z",1,"Infraestrutura ruim"
"MASP","2024-01-07T00:00:00Z",7,"Evento incrivel"
"MASP","2024-01-01T00:00:00Z",1,"Evento atrasado"
"MASP","2024-01-03T00:00:00Z",8,"Experiencia excelente"
"MASP","2024-01-08T00:00:00Z",5,"Filas longas e desorganizacao"
"MASP","2024-01-07T00:00:00Z",10,"Recomendo muito"
"MASP","2024-01-08T00:00:00Z",4,"Som de baixa qualidade"
"MASP","2024-01-03T00:00:00Z",9,"Experiencia excelente"
"MASP","2024-01-06T00:00:00Z",7,"Experiencia excelente"
"MASP","2024-01-01T00:00:00Z",8,"Recomendo muito"
"MASP","2024-01-02T00:00:00Z",3,"Filas longas e desorganizacao"
"MASP","2024-01-06T00:00:00Z",1,"Infraestrutura ruim"
"MASP","2024-01-02T00:00:00Z",9,"Evento incrivel"
"MASP","2024-01-04T00:00:00Z",2,"Filas longas e desorganizacao"
"MASP","2024-01-05T00:00:00Z",8,"Recomendo muito"
"MASP","2024-01-01T00:00:00Z",2,"Infraestrutura ruim"
"MASP","2024-01-04T00:00:00Z",2,"Infraestrutura ruim"
"MASP","2024-01-03T00:00:00Z",10,"Muito bem organizado"
"MASP","2024-01-02T00:00:00Z",10,"Recomendo muito"
